episode_hash,status,total_frames,padded_len,sql_num_frames,n_annotations,fps,n_arrays
692fe953d51f8f46f2ad69e2,ok,157,157,157.0,0,30,7
692eb27da0e165ab2e42e566,ok,105,105,105.0,0,30,7
692eadb23b319da763b71b9f,ok,132,132,132.0,0,30,7
692fe5eda48e122f8325d3b4,ok,184,184,184.0,0,30,7
692ea415d3d807884d4dd71d,ok,201,201,201.0,0,30,7
692eb0e9c621d7f4aac3ac24,ok,134,134,134.0,0,30,7
692fe5eea48e122f8325d3bf,ok,202,202,202.0,0,30,7
692fe8da6c1e69a4860825c4,ok,213,213,213.0,0,30,7
692ea49a727c13b350cb7c47,ok,174,174,174.0,0,30,7
692fe79d34a99e18e252899b,ok,211,211,211.0,0,30,7
692fe7ccb03ac7c2657d54d8,ok,164,164,164.0,0,30,7
692fe3ffd35e50f3aed1e3cb,ok,192,192,192.0,0,30,7
692ec530526b2c3ac5f5b590,ok,130,130,130.0,0,30,7
692ea415d3d807884d4dd718,ok,182,182,182.0,0,30,7
692ea68e74b24813e759757c,ok,208,208,208.0,0,30,7
692ea877aec602a46af105da,ok,410,410,410.0,0,30,7
692eab2299488ff84776f9d6,ok,235,235,235.0,0,30,7
692fe8db6c1e69a4860825cb,ok,228,228,228.0,0,30,7
692ea90ee2322e3b092b5f0b,ok,180,180,180.0,0,30,7
692efcde4cbe80983738000f,ok,156,156,156.0,0,30,7
692e7fa94e86f0c01a206ea5,ok,119,119,119.0,0,30,7
692ea126eee2f8cb10d0f732,ok,98,98,98.0,0,30,7
692eb651ba0400c7068a0044,ok,204,204,204.0,0,30,7
692eb78b4e7eab2cafd26a99,ok,205,205,205.0,0,30,7
692eb3fb96d2056439f01998,ok,220,220,220.0,0,30,7
692fe7c8b03ac7c2657d54b7,ok,158,158,158.0,0,30,7
692eab0eba0400c70689ff62,ok,203,203,203.0,0,30,7
692ea90de2322e3b092b5f09,ok,180,180,180.0,0,30,7
692ea90ce2322e3b092b5f00,ok,190,190,190.0,0,30,7
692e991b1e78e176ba6cf77e,ok,179,179,179.0,0,30,7
692eb08897ffd8ec90340283,ok,194,194,194.0,0,30,7
692efcde4cbe80983738000c,ok,142,142,142.0,0,30,7
692eabf6e2322e3b092b5f7a,ok,194,194,194.0,0,30,7
692eb0e8c621d7f4aac3ac17,ok,122,122,122.0,0,30,7
692ea416d3d807884d4dd721,ok,222,222,222.0,0,30,7
692e8e4daec602a46af10309,ok,200,200,200.0,0,30,7
692fe8793c1dfb13a7a99ed7,ok,198,198,198.0,0,30,7
692eb27ea0e165ab2e42e56f,ok,151,151,151.0,0,30,7
692eb0e9c621d7f4aac3ac29,ok,118,118,118.0,0,30,7
692fe255400f4662f13d7b0b,ok,192,192,192.0,0,30,7
692e91b939719ab57395b6bd,ok,207,207,207.0,0,30,7
692e9f2bba0400c70689fdf5,ok,231,231,231.0,0,30,7
692e7fa84e86f0c01a206e9e,ok,140,140,140.0,0,30,7
692ef37efbcce321dca74edb,ok,149,149,149.0,0,30,7
692eab3b5cd6df8b6023ca8b,ok,235,235,235.0,0,30,7
692eb651ba0400c7068a0045,ok,153,153,153.0,0,30,7
6930852199946db9586cf530,ok,204,204,204.0,0,30,7
692efcdd4cbe80983737fffd,ok,153,153,153.0,0,30,7
692eb493f169106feb26b01b,ok,220,220,220.0,0,30,7
692ea4d674b24813e7597543,ok,224,224,224.0,0,30,7
692ec52d526b2c3ac5f5b579,ok,178,178,178.0,0,30,7
692e7b5939719ab57395b49e,ok,272,272,272.0,0,30,7
6930851f99946db9586cf519,ok,229,229,229.0,0,30,7
692eb333ea43f09edf26f6c2,ok,196,196,196.0,0,30,7
692ec52f526b2c3ac5f5b58f,ok,126,126,126.0,0,30,7
692eefe20ba268eb16564aac,ok,228,228,228.0,0,30,7
692e9f2cba0400c70689fdf8,ok,188,188,188.0,0,30,7
692fe87b3c1dfb13a7a99ee9,ok,238,238,238.0,0,30,7
692ec52e526b2c3ac5f5b57f,ok,156,156,156.0,0,30,7
